91ef	c919	b8b5	b348	6457	fc97	4033	62ea	db38	d6d2	771c	b9ee	37ec	9a16	9b5e	0e91
11a8	8f4d	9f01	5bd1	8ad5	f0a6	6b0d	586f	707c	8cc4	f408	b950	23a2	dbf4	c156	ed35
9d2c	9e00	aa7a	8e1c	0194	0a38	b197	b65b	cc6c	f115	b310	1d5b	8482	9326	2d21	695c
c4ed	6740	2738	2e1c	46ef	4a2b	fbc3	d544	20d8	c828	6c79	f983	b3a5	1839	54a1	71ed
0e9b	c4d2	7523	6d9a	2864	0a1d	fca6	768f	25b0	7836	f950	b93e	f014	7114	0cac	cc11
6d23	975e	007d	d8c2	802a	60bf	ccbf	82ff	d4a5	34f4	ab86	3bfc	90c7	1385	f104	5414
b488	fa60	54ab	03bf	df2f	7259	c13f	b4ab	1b9a	6a08	548e	c9dd	7500	efd2	c938	300a
e3bc	4b35	b72d	2ac5	39bf	82e8	6986	13a8	4260	4da7	c55a	907e	3b99	db9a	079e	0839
7331	44ea	293a	1d0f	c4a2	cd9b	da4b	ef26	3b95	3490	6d6f	de1a	878b	b797	76d7	83b6
fd87	1a46	eb0e	9069	c852	2ee0	6400	7957	da64	3603	9bab	9e14	5849	3389	a058	910c
cf24	a103	ffc4	1377	a592	8e11	d611	90b4	d7bf	3cd1	ec65	606c	d700	1d48	572c	8eef
49ca	c815	6b6e	a12a	b938	9b94	7fcd	3b02	e434	9f7d	700e	2570	3bab	ca9f	4922	6a59
39c0	4928	4c70	441e	dfb8	2979	ffec	ac3d	becf	e49e	0ea5	37b8	2fc6	be0f	9c96	e660
2aaf	9f10	13e9	bad8	e07d	6162	f2ad	6326	6494	f80c	3c67	0915	d6d7	a2f9	59c9	0909
58c1	f887	38a0	1583	be2c	547d	9aec	93b5	375f	9b31	68f1	4362	f722	b104	b6bb	23c8
3228	dd78	4f2c	28b0	ffdc	81e5	39c4	fb11	9804	4105	efdc	7cfb	f79a	b086	bbe8	0957
a871	c17d	3149	4628	917f	bd60	a4a3	1d73	9622	c118	f677	f62e	0226	108a	f922	6344
280e	071d	141c	9a75	2aa2	ad22	5a1b	4dc9	5ec4	7487	35cb	5049	5f49	6ff2	775f	2a47
bae9	cac2	8ffb	3ca4	0eb6	c16d	cd5b	3340	aca0	64c3	115a	2ed5	9c4b	990c	3aec	f9ff
1ae8	b132	e161	6896	5494	916a	b244	8247	9485	8928	16f1	24c9	3f65	1354	e5b4	afef
5c26	4430	da90	5a71	c3df	ce30	ce6b	8bec	04e4	d7e8	efc1	af3f	4177	f503	568f	b5e0
6c60	ab49	1747	4a7c	e7ac	77a0	a9b0	9b84	06ea	b736	9462	92a3	6c67	9635	53ed	ef8d
