7279	7ea3	98fa	c23f	06f7	9f60	c446	d395	8ad3	e0b0	edeb	0623	464d	920d	88e0	33d3
b187	bd99	b7e9	e2cd	b8e0	9b3f	edcb	dcbc	be24	ac85	ccce	8425	5b14	de6d	1a7a	be42
9d18	11ba	1240	a8ea	417b	67fa	9b81	45ef	242a	a75b	f484	de6b	f4d6	7a6b	2de2	17cd
ad15	07f0	a99f	aa9d	fb76	0684	8e44	61df	40b8	3d88	fc2f	5345	031d	9676	aa31	56a9
9507	1145	1a25	145b	f688	6351	ce45	6ca8	0221	b4a4	3575	3d9a	5da7	c5ba	d109	a6d5
c63d	e456	19c9	a289	6f03	f9aa	ecd9	6d3d	84bd	58ee	96be	81cc	d2ef	f920	0adb	ff4e
25d6	5903	2998	056e	dbd1	14d5	bd04	05b7	dfe9	25e9	0cd3	9cdf	cf8b	1726	657d	f41c
d3f6	9406	248f	fa02	2749	256b	435d	9ef9	8c0b	7c6f	0d37	aa76	d769	3bbc	b538	0d8a
b472	6b9a	9744	5ee5	bb2c	85bf	43d4	a70b	0db0	770e	ca3e	6910	a68e	6c8c	6652	c509
61b7	f64a	d070	e27e	5a95	194a	3fa3	e99f	401b	8512	cf19	6bf1	2492	ae14	6425	3eb1
9a6e	d5ef	b156	c51a	fcc2	9a45	e3a5	60b6	9566	c0fe	2ec9	4358	e25f	4ddc	f6e7	6bb7
2d39	32d2	b344	a6ab	b739	8867	ebd8	5f75	22e7	44c6	43e2	8488	f896	5327	31b4	d6d3
7b26	307c	0a8b	4ab1	c231	70c1	474c	faa5	40ac	916b	571c	0610	deb8	2327	5670	42e1
3484	cef9	80c3	ade9	fce4	91ee	37db	ffd7	9ad9	22a5	c997	888b	0a44	2615	0b81	74e3
49ac	801d	14e5	f03e	d439	2303	02f7	1d9f	c25e	6b55	eb33	532a	f4dc	1372	5e0a	1ea8
0c22	6ef9	f608	9d58	1aa4	1d85	3317	a34e	40fc	3254	14d6	6a6c	6de0	c78f	66b8	1b46
7ba5	c1f7	47cd	c2d6	da15	73db	d1b9	b271	805e	07ce	69bb	0b7f	cee7	2e85	3005	d04d
b014	e972	70b6	181d	69f7	e0a4	b6a2	e631	7778	ba58	b904	aa6a	7635	3a89	690e	1020
9d55	25c3	6d12	ae27	914c	f473	dd21	46b5	537d	4750	2ebc	7938	928b	7c3b	98ff	1651
e19f	7eb5	961b	54b2	9c53	4f04	5f23	331c	da60	6578	3473	4867	0982	e1be	01df	2d73
b596	2f95	93f1	9ae7	f496	9b78	9913	76ac	9df0	b167	26d3	e591	d973	28a6	5a24	9f9a
919d	e548	3634	f78f	0495	6289	d858	95e6	0e0e	2e14	94c0	1bf2	a742	2347	3dfc	25a1
283e	702c	44ce	83e4	c6a1	eeef	b53f	b0e3	9522	8adf	5ff7	33da	8cdf	8664	b14d	a8e5
8ed5	47ca	5531	07d3	2bcd	55ca	b3f2	0c82	5fa2	fe9b	866e	2775	30d9	3852	d3a3	da75
b00e	2be6	e0a3	7328	a8ed	1b25	96ae	2a54	e64b	db83	cb08	b1a3	2fa6	eeca	c612	c6cf
03a9	5aba	f7e3	cd7f	7b71	da2d	0dc8	ab25	6aff	9ada	eb4d	6b18	1dc8	2e64	bbab	9da6
3a12	dda0	749d	856e	2fb0	3c2c	c8b2	4f8b	0b0f	be91	4b62	b233	b6f1	0d65	33a3	4e5c
36d1	aa51	860d	e413	d08b	5c7a	9c53	810a	236c	863d	0a04	2da9	2bd7	e023	d426	16df
b942	8345	b631	7475	8bd8	fffb	cc6f	3360	7ef0	2e0a	e766	7b06	f2a4	58c8	1d0b	1464
24ab	9eef	f899	255d	e6be	369e	e461	8e8d	566a	0881	f7e7	af62	2f1a	8f58	c64f	e621
2e98	3a04	dc34	77c4	c66a	6cd5	f47e	21bf	b341	8b1b	8332	92ce	0c06	d616	7194	ad79
eb7a	788a	5a5d	daa1	151e	ca8c	dee1	166a	9eae	bd32	d307	f27d	df3f	bfc0	c167	dff3
ffaf	d829	1223	e357	8ab7	f671	4be8	91a2	974c	1de1	856e	586d	f96c	0c9a	c98a	adc6
a623	bc3f	09cc	d625	7b77	0bf3	99e0	1cc3	63ad	a1c3	95e0	9220	ca45	e8ff	7a88	8806
f3a4	262f	70c5	1f61	7d9f	4f9c	e9a9	7db2	fdd0	23aa	784e	1a26	436f	e480	22b6	bae0
4430	1772	4218	06a7	5062	d039	0fd7	c561	64e7	2db1	4150	e2e9	5659	4a83	7c08	8acd
8b5c	e478	3741	d97f	2b9c	d0c8	fac5	6eae	f831	fb7d	ed37	5760	a182	5cbf	7c61	fe7a
7286	1141	5fe4	e300	84aa	f2bb	c263	0125	0ca2	5886	5c21	d8af	79c4	0cfb	3658	c7ca
aa3c	04eb	b12a	0571	a7a0	c885	2341	a16b	5e17	b256	aa26	afdb	14ae	2695	d7a0	dfc0
1887	85d7	b58d	6b55	84df	d511	2774	b025	b10b	371a	ecf4	8269	6539	a303	bae3	72d4
a3b4	8ba2	b433	246d	0e33	4702	6f54	1ac4	5a14	ec14	25a0	64f3	b936	dc11	abbe	8f26
3ae5	b258	ea90	04b0	8373	b475	61db	d753	a6f4	b1f4	4cc0	01b2	e3ea	6dc2	bc46	cfe1
ef02	09cf	93c3	18d1	eed8	470f	8001	de76	0d9f	e3ba	a762	1c83	f417	36c1	a8e1	4ffb
62e6	40cb	319f	fe94	ce57	70e5	fa58	8958	18b1	c7b5	1aea	f506	5af7	250e	90e1	4037
e111	9e96	b7e1	37da	2142	0f5c	ae60	a85c	eaf7	f9bf	04be	1379	5fdf	e683	fed4	31f0
40ed	a740	95d0	87bc	b783	a08b	4244	d0d3	2164	6712	4b4a	23eb	3a0e	795d	04d2	c702
6cad	a817	dcb7	8ce6	2af0	1af0	757c	612e	8006	7915	19fa	eda4	f8c0	427c	bff5	a5b6
